Discipline,Subfield,Methodology,Title,Abstract,URL,Source,clean_title,clean_abstract,clean_text,noun_ratio,verb_ratio,adj_ratio,adv_ratio,avg_sentence_length,ner_org,ner_gpe,ner_date,ner_person
Computer Science,Algorithms and Data Structures,Quantitative,Data structures for maintaining set partitions,"<jats:title>Abstract</jats:title><jats:p>Efficiently maintaining the partition induced by a set of features is an important problem in building decision‐tree classifiers. In order to identify a small set of discriminating features, we need the capability of efficiently adding and removing specific features and determining the effect of these changes on the induced classification or partition. In this paper we introduce a variety of randomized and deterministic data structures to support these operations on both general and geometrically induced set partitions. We give both Monte Carlo and Las Vegas data structures that realize near‐optimal time bounds and are practical to implement. We then provide a faster solution to this problem in the geometric setting. Finally, we present a data structure that efficiently estimates the number of partitions separating elements. © 2004 Wiley Periodicals, Inc. Random Struct. Alg., 2004</jats:p>",https://doi.org/10.1002/rsa.20025,CrossRef,datum structure maintain set partition,jatstitleabstractjatstitlejatspefficiently maintain partition induce set feature important problem build classifier order identify small set discriminating feature need capability efficiently add remove specific feature determine effect change induced classification partition paper introduce variety randomized deterministic datum structure support operation general geometrically induce set partition give monte carlo las vegas data structure realize time bound practical implement provide fast solution problem geometric setting finally present data structure efficiently estimate number partition separate element wiley periodicals inc random struct alg jatsp,datum structure maintain set partition jatstitleabstractjatstitlejatspefficiently maintain partition induce set feature important problem build classifier order identify small set discriminating feature need capability efficiently add remove specific feature determine effect change induced classification partition paper introduce variety randomized deterministic datum structure support operation general geometrically induce set partition give monte carlo las vegas data structure realize time bound practical implement provide fast solution problem geometric setting finally present data structure efficiently estimate number partition separate element wiley periodicals inc random struct alg jatsp,0.41025641025641024,0.23076923076923078,0.14102564102564102,0.0641025641025641,78.0,2.0,1.0,0.0,0.0
Computer Science,Algorithms and Data Structures,Quantitative,Segment-Based Clustering of Hyperspectral Images Using Tree-Based Data Partitioning Structures,"<jats:p>Hyperspectral image classification has been increasingly used in the field of remote sensing. In this study, a new clustering framework for large-scale hyperspectral image (HSI) classification is proposed. The proposed four-step classification scheme explores how to effectively use the global spectral information and local spatial structure of hyperspectral data for HSI classification. Initially, multidimensional Watershed is used for pre-segmentation. Region-based hierarchical hyperspectral image segmentation is based on the construction of Binary partition trees (BPT). Each segmented region is modeled while using first-order parametric modelling, which is then followed by a region merging stage using HSI regional spectral properties in order to obtain a BPT representation. The tree is then pruned to obtain a more compact representation. In addition, principal component analysis (PCA) is utilized for HSI feature extraction, so that the extracted features are further incorporated into the BPT. Finally, an efficient variant of k-means clustering algorithm, called filtering algorithm, is deployed on the created BPT structure, producing the final cluster map. The proposed method is tested over eight publicly available hyperspectral scenes with ground truth data and it is further compared with other clustering frameworks. The extensive experimental analysis demonstrates the efficacy of the proposed method.</jats:p>",https://doi.org/10.3390/a13120330,CrossRef,segmentbase cluster hyperspectral image use treebase datum partition structure,jatsphyperspectral image classification increasingly use field remote sensing study new cluster framework largescale hyperspectral image hsi classification propose propose fourstep classification scheme explore effectively use global spectral information local spatial structure hyperspectral datum hsi classification initially multidimensional watershed use presegmentation regionbase hierarchical hyperspectral image segmentation base construction binary partition tree bpt segment region model use firstorder parametric modelling follow region merging stage use hsi regional spectral property order obtain bpt representation tree prune obtain compact representation addition principal component analysis pca utilize hsi feature extraction extract feature far incorporate bpt finally efficient variant kmean cluster algorithm call filter algorithm deploy create bpt structure produce final cluster map propose method test eight publicly available hyperspectral scene ground truth datum far compare clustering framework extensive experimental analysis demonstrate efficacy propose methodjatsp,segmentbase cluster hyperspectral image use treebase datum partition structure jatsphyperspectral image classification increasingly use field remote sensing study new cluster framework largescale hyperspectral image hsi classification propose propose fourstep classification scheme explore effectively use global spectral information local spatial structure hyperspectral datum hsi classification initially multidimensional watershed use presegmentation regionbase hierarchical hyperspectral image segmentation base construction binary partition tree bpt segment region model use firstorder parametric modelling follow region merging stage use hsi regional spectral property order obtain bpt representation tree prune obtain compact representation addition principal component analysis pca utilize hsi feature extraction extract feature far incorporate bpt finally efficient variant kmean cluster algorithm call filter algorithm deploy create bpt structure produce final cluster map propose method test eight publicly available hyperspectral scene ground truth datum far compare clustering framework extensive experimental analysis demonstrate efficacy propose methodjatsp,0.5116279069767442,0.13178294573643412,0.1937984496124031,0.05426356589147287,64.5,1.0,0.0,0.0,0.0
Computer Science,Algorithms and Data Structures,Quantitative,Efficient Data Structures for Range Shortest Unique Substring Queries,"<jats:p>Let T[1,n] be a string of length n and T[i,j] be the substring of T starting at position i and ending at position j. A substring T[i,j] of T is a repeat if it occurs more than once in T; otherwise, it is a unique substring of T. Repeats and unique substrings are of great interest in computational biology and information retrieval. Given string T as input, the Shortest Unique Substring problem is to find a shortest substring of T that does not occur elsewhere in T. In this paper, we introduce the range variant of this problem, which we call the Range Shortest Unique Substring problem. The task is to construct a data structure over T answering the following type of online queries efficiently. Given a range [α,β], return a shortest substring T[i,j] of T with exactly one occurrence in [α,β]. We present an O(nlogn)-word data structure with O(logwn) query time, where w=Ω(logn) is the word size. Our construction is based on a non-trivial reduction allowing for us to apply a recently introduced optimal geometric data structure [Chan et al., ICALP 2018]. Additionally, we present an O(n)-word data structure with O(nlogϵn) query time, where ϵ&gt;0 is an arbitrarily small constant. The latter data structure relies heavily on another geometric data structure [Nekrich and Navarro, SWAT 2012].</jats:p>",https://doi.org/10.3390/a13110276,CrossRef,efficient datum structure range shortest unique substring query,jatsplet string length tij substring start position end position substre tij repeat occur otherwise unique substring repeat unique substring great interest computational biology information retrieval give string input shortest unique substring problem find short substring occur elsewhere paper introduce range variant problem call range shortest unique substring problem task construct data structure answer following type online query efficiently give range return short substring tij exactly one occurrence present onlognword datum structure ologwn query time wωlogn word size construction base nontrivial reduction allow apply recently introduce optimal geometric data structure chan icalp additionally present onword datum structure onlogϵn query time ϵgt arbitrarily small constant latter datum structure rely heavily another geometric datum structure nekrich navarro swat jatsp,efficient datum structure range shortest unique substring query jatsplet string length tij substring start position end position substre tij repeat occur otherwise unique substring repeat unique substring great interest computational biology information retrieval give string input shortest unique substring problem find short substring occur elsewhere paper introduce range variant problem call range shortest unique substring problem task construct data structure answer following type online query efficiently give range return short substring tij exactly one occurrence present onlognword datum structure ologwn query time wωlogn word size construction base nontrivial reduction allow apply recently introduce optimal geometric data structure chan icalp additionally present onword datum structure onlogϵn query time ϵgt arbitrarily small constant latter datum structure rely heavily another geometric datum structure nekrich navarro swat jatsp,0.47413793103448276,0.13793103448275862,0.15517241379310345,0.08620689655172414,116.0,1.0,0.0,0.0,2.0
Computer Science,Algorithms and Data Structures,Quantitative,Voxelisation Algorithms and Data Structures: A Review,"<jats:p>Voxel-based data structures, algorithms, frameworks, and interfaces have been used in computer graphics and many other applications for decades. There is a general necessity to seek adequate digital representations, such as voxels, that would secure unified data structures, multi-resolution options, robust validation procedures and flexible algorithms for different 3D tasks. In this review, we evaluate the most common properties and algorithms for voxelisation of 2D and 3D objects. Thus, many voxelisation algorithms and their characteristics are presented targeting points, lines, triangles, surfaces and solids as geometric primitives. For lines, we identify three groups of algorithms, where the first two achieve different voxelisation connectivity, while the third one presents voxelisation of curves. We can say that surface voxelisation is a more desired voxelisation type compared to solid voxelisation, as it can be achieved faster and requires less memory if voxels are stored in a sparse way. At the same time, we evaluate in the paper the available voxel data structures. We split all data structures into static and dynamic grids considering the frequency to update a data structure. Static grids are dominated by SVO-based data structures focusing on memory footprint reduction and attributes preservation, where SVDAG and SSVDAG are the most advanced methods. The state-of-the-art dynamic voxel data structure is NanoVDB which is superior to the rest in terms of speed as well as support for out-of-core processing and data management, which is the key to handling large dynamically changing scenes. Overall, we can say that this is the first review evaluating the available voxelisation algorithms for different geometric primitives as well as voxel data structures.</jats:p>",https://doi.org/10.3390/s21248241,CrossRef,voxelisation algorithm data structure review,jatspvoxelbase datum structure algorithm framework interface use computer graphic many application decade general necessity seek adequate digital representation voxel would secure unified data structure multiresolution option robust validation procedure flexible algorithm different task review evaluate common property algorithm voxelisation object thus many voxelisation algorithm characteristic present target point line triangle surface solid geometric primitive line identify three group algorithm first two achieve different voxelisation connectivity third one present voxelisation curve say surface voxelisation desire voxelisation type compare solid voxelisation achieve fast require less memory voxel store sparse way time evaluate paper available voxel datum structure split data structure static dynamic grid consider frequency update data structure static grid dominate svobase data structure focus memory footprint reduction attribute preservation svdag ssvdag advanced method stateoftheart dynamic voxel datum structure nanovdb superior rest term speed well support outofcore processing datum management key handle large dynamically change scene overall say first review evaluate available voxelisation algorithm different geometric primitive well voxel datum structuresjatsp,voxelisation algorithm data structure review jatspvoxelbase datum structure algorithm framework interface use computer graphic many application decade general necessity seek adequate digital representation voxel would secure unified data structure multiresolution option robust validation procedure flexible algorithm different task review evaluate common property algorithm voxelisation object thus many voxelisation algorithm characteristic present target point line triangle surface solid geometric primitive line identify three group algorithm first two achieve different voxelisation connectivity third one present voxelisation curve say surface voxelisation desire voxelisation type compare solid voxelisation achieve fast require less memory voxel store sparse way time evaluate paper available voxel datum structure split data structure static dynamic grid consider frequency update data structure static grid dominate svobase data structure focus memory footprint reduction attribute preservation svdag ssvdag advanced method stateoftheart dynamic voxel datum structure nanovdb superior rest term speed well support outofcore processing datum management key handle large dynamically change scene overall say first review evaluate available voxelisation algorithm different geometric primitive well voxel datum structuresjatsp,0.5471698113207547,0.1069182389937107,0.20125786163522014,0.0440251572327044,79.5,0.0,0.0,0.0,1.0
Computer Science,Algorithms and Data Structures,Quantitative,"Key Concepts, Weakness and Benchmark on Hash Table Data Structures","<jats:p>Most computer programs or applications need fast data structures. The performance of a data structure is necessarily influenced by the complexity of its common operations; thus, any data-structure that exhibits a theoretical complexity of amortized constant time in several of its main operations should draw a lot of attention. Such is the case of a family of data structures that is called hash tables. However, what is the real efficiency of these hash tables? That is an interesting question with no simple answer and there are some issues to be considered. Of course, there is not a unique hash table; in fact, there are several sub-groups of hash tables, and, even more, not all programming languages use the same variety of hash tables in their default hash table implementation, neither they have the same interface. Nevertheless, all hash tables do have a common issue: they have to solve hash collisions; that is a potential weakness and it also induces a classification of hash tables according to the strategy to solve collisions. In this paper, some key concepts about hash tables are exposed and some definitions about those key concepts are reviewed and clarified, especially in order to study the characteristics of the main strategies to implement hash tables and how they deal with hash collisions. Then, some benchmark cases are designed and presented to assess the performance of hash tables. The cases have been designed to be randomized, to be self-tested, to be representative of a real user cases, and to expose and analyze the impact of different factors over the performance across different hash tables and programming languages. Then, all cases have been programmed using C++, Java and Python and analyzed in terms of interfaces and efficiency (time and memory). The benchmark yields important results about the performance of these structures and its (lack of) relationship with complexity analysis.</jats:p>",https://doi.org/10.3390/a15030100,CrossRef,key concept weakness benchmark hash table datum structure,jatspmost computer program application need fast data structure performance data structure necessarily influence complexity common operation thus datastructure exhibit theoretical complexity amortize constant time several main operation draw lot attention case family datum structure call hash table however real efficiency hash table interesting question simple answer issue consider course unique hash table fact several subgroup hash table even programming language use variety hash table default hash table implementation neither interface nevertheless hash table common issue solve hash collision potential weakness also induce classification hash table accord strategy solve collision paper key concept hash table expose definition key concept review clarify especially order study characteristic main strategy implement hash table deal hash collision benchmark case design present assess performance hash table case design randomize selfteste representative real user case expose analyze impact different factor performance across different hash table programming language case program use java python analyze term interface efficiency time memory benchmark yield important result performance structure lack relationship complexity analysisjatsp,key concept weakness benchmark hash table datum structure jatspmost computer program application need fast data structure performance data structure necessarily influence complexity common operation thus datastructure exhibit theoretical complexity amortize constant time several main operation draw lot attention case family datum structure call hash table however real efficiency hash table interesting question simple answer issue consider course unique hash table fact several subgroup hash table even programming language use variety hash table default hash table implementation neither interface nevertheless hash table common issue solve hash collision potential weakness also induce classification hash table accord strategy solve collision paper key concept hash table expose definition key concept review clarify especially order study characteristic main strategy implement hash table deal hash collision benchmark case design present assess performance hash table case design randomize selfteste representative real user case expose analyze impact different factor performance across different hash table programming language case program use java python analyze term interface efficiency time memory benchmark yield important result performance structure lack relationship complexity analysisjatsp,0.6645962732919255,0.10559006211180125,0.14285714285714285,0.049689440993788817,161.0,1.0,0.0,0.0,0.0
Computer Science,Algorithms and Data Structures,Qualitative,ANALYSIS OF ALGORITHMS FOR THE FORMATION OF CODE STRUCTURES AFFECTING THE QUALITY OF DATA TRANSMISSION IN INFOCOMMUNICATION SYSTEMS,"<jats:p>Achieving the best quality indicators of transmission through the channels of modern communication systems is always of urgent importance for developers and users of information communication systems. At the same time, to ensure high transmission reliability and performance, various coding methods and methods of converting the transmitted data can be used. Accordingly, each of the proposed data processing methods has its advantages and disadvantages, which determines their attractiveness or application limitations for the data being transmitted. In this paper, the analysis of algorithms for forming signal code structures of traditional interference-resistant positional codes, codes with an even number of units, and a nine-element Hamming code is carried out. Classical positional coding is inferior in such important data transmission parameters as information capacity and entropy. However, in some cases, for example, when the results of data transfer quality parameters calculations are significantly influenced by the language of the transmitted textual information or the volume of the analyzed text (the influence is more likely to be noticeable in individual cases, and not in general), then an important value acquires the possibility of applying a certain/adapted type of encoding of the transmitted data. The article conducts theoretical research and calculates the main qualitative parameters of the studied code constructions for various initial conditions. A comparative analysis and assessment of the influence of the studied parameters on the quality of data transmission was carried out. Conducted theoretical studies show that, under certain conditions, positional coding provides a significant gain in the main quality indicators of data processing and can be successfully applied for coding and transmission of digital data through the channels of modern information transmission systems. In order to practically confirm the reliability of the obtained results, relevant studies should be conducted, for example, with simulation on a software model of a virtual transmission system with different coding principles on modern computer systems.</jats:p>",https://doi.org/10.28925/2663-4023.2024.24.9098,CrossRef,analysis algorithm formation code structure affect quality datum transmission infocommunication system,jatspachieve good quality indicator transmission channel modern communication system always urgent importance developer user information communication system time ensure high transmission reliability performance various code method method convert transmit datum use accordingly propose datum processing method advantage disadvantage determine attractiveness application limitation datum transmit paper analysis algorithm form signal code structure traditional interferenceresistant positional code code even number unit nineelement hamming code carry classical positional coding inferior important data transmission parameter information capacity entropy however case example result datum transfer quality parameter calculation significantly influence language transmit textual information volume analyzed text influence likely noticeable individual case general important value acquire possibility apply certainadapte type encoding transmit datum article conduct theoretical research calculate main qualitative parameter studied code construction various initial condition comparative analysis assessment influence study parameter quality datum transmission carry conduct theoretical study show certain condition positional coding provide significant gain main quality indicator datum processing successfully apply coding transmission digital datum channel modern information transmission system order practically confirm reliability obtain result relevant study conduct example simulation software model virtual transmission system different code principle modern computer systemsjatsp,analysis algorithm formation code structure affect quality datum transmission infocommunication system jatspachieve good quality indicator transmission channel modern communication system always urgent importance developer user information communication system time ensure high transmission reliability performance various code method method convert transmit datum use accordingly propose datum processing method advantage disadvantage determine attractiveness application limitation datum transmit paper analysis algorithm form signal code structure traditional interferenceresistant positional code code even number unit nineelement hamming code carry classical positional coding inferior important data transmission parameter information capacity entropy however case example result datum transfer quality parameter calculation significantly influence language transmit textual information volume analyzed text influence likely noticeable individual case general important value acquire possibility apply certainadapte type encoding transmit datum article conduct theoretical research calculate main qualitative parameter studied code construction various initial condition comparative analysis assessment influence study parameter quality datum transmission carry conduct theoretical study show certain condition positional coding provide significant gain main quality indicator datum processing successfully apply coding transmission digital datum channel modern information transmission system order practically confirm reliability obtain result relevant study conduct example simulation software model virtual transmission system different code principle modern computer systemsjatsp,0.6077348066298343,0.1270718232044199,0.1878453038674033,0.04419889502762431,181.0,0.0,0.0,0.0,0.0
Computer Science,Algorithms and Data Structures,Qualitative,Avoiding a giant component,"<jats:title>Abstract</jats:title><jats:p>Let<jats:italic>e</jats:italic><jats:sub>1</jats:sub>, <jats:italic>e</jats:italic>′<jats:sub>1</jats:sub>;<jats:italic>e</jats:italic><jats:sub>2</jats:sub>, <jats:italic>e</jats:italic>′<jats:sub>2</jats:sub>;…;<jats:italic>e<jats:sub>i</jats:sub></jats:italic>, <jats:italic>e</jats:italic>′<jats:sub><jats:italic>i</jats:italic></jats:sub>;⋅⋅⋅ be a sequence of ordered pairs of edges chosen uniformly at random from the edge set of the complete graph<jats:italic>K<jats:sub>n</jats:sub></jats:italic>(i.e. we sample with replacement). This sequence is used to form a graph by choosing at stage<jats:italic>i</jats:italic>,<jats:italic>i</jats:italic>=1,…, one edge from<jats:italic>e<jats:sub>i</jats:sub></jats:italic>,<jats:italic>e</jats:italic>′<jats:sub><jats:italic>i</jats:italic></jats:sub>to be an edge in the graph, where the choice at stage<jats:italic>i</jats:italic>is based only on the observation of the edges that have appeared by stage<jats:italic>i</jats:italic>. We show that these choices can be made so that<jats:bold>whp</jats:bold>the size of the largest component of the graph formed at stage 0.535<jats:italic>n</jats:italic>is polylogarithmic in<jats:italic>n</jats:italic>. This resolves a question of Achlioptas. © 2001 John Wiley &amp; Sons, Inc. Random Struct. Alg., 19, 75–85, 2001</jats:p>",https://doi.org/10.1002/rsa.1019,CrossRef,avoid giant component,jatstitleabstractjatstitlejatspletjatsitalicejatsitalicjatssubjatssub jatsitalicejatssubijatssubjatsitalic sequence order pair edge choose uniformly random edge set complete graphjatsitalickjatssubnjatssubjatsitalicie sample replacement sequence use form graph choose stagejatsitalicijatsitalicjatsitalicijatsitalic one edge edge graph choice stagejatsitalicijatsitalicis base observation edge appear stagejatsitalicijatsitalic show choice make thatjatsboldwhpjatsboldthe size large component graph form stage jatsitalicnjatsitalicis polylogarithmic injatsitalicnjatsitalic resolve question achliopta john wiley amp sons inc random struct alg jatsp,avoid giant component jatstitleabstractjatstitlejatspletjatsitalicejatsitalicjatssubjatssub jatsitalicejatssubijatssubjatsitalic sequence order pair edge choose uniformly random edge set complete graphjatsitalickjatssubnjatssubjatsitalicie sample replacement sequence use form graph choose stagejatsitalicijatsitalicjatsitalicijatsitalic one edge edge graph choice stagejatsitalicijatsitalicis base observation edge appear stagejatsitalicijatsitalic show choice make thatjatsboldwhpjatsboldthe size large component graph form stage jatsitalicnjatsitalicis polylogarithmic injatsitalicnjatsitalic resolve question achliopta john wiley amp sons inc random struct alg jatsp,0.5087719298245614,0.10526315789473684,0.10526315789473684,0.017543859649122806,57.0,0.0,0.0,0.0,3.0
Computer Science,Algorithms and Data Structures,Qualitative,Feasibility of machine learning algorithms for classifying damaged offshore jacket structures using SCADA data,"<jats:title>Abstract</jats:title>
               <jats:p>The best practise for structural damage detection currently relies on the installation of structural health monitoring systems for the collection of dedicated high frequency measurements. Switching to the employment of the wind turbine’s SCADA (Supervisory Control and Data Acquisition) signals and their commonly recorded low frequency statistics can lead to a reduction in the number of ad-hoc monitoring sensors and quantity of data required. In this paper, aero-hydro-servo-elastic simulations for a model of a turbine are used to assess its loads and any changes in the dynamics under healthy state and a damaged configuration case study. To prove the feasibility of the damage detection through low-resolution data, the statistics of the typically recorded signals from the SCADA and the structural monitoring systems are fed into a database for training and testing of classification algorithms. The ability of the machine learning models to generalise the classification for both stochasticity and uncertainties in the environmental conditions are tested. Decision tree-based classifiers showed the capability to capture the damage for the majority of the operating conditions considered. Though the setup of the traditional SCADA sensors had to be supplemented with an additional structural health monitoring sensor, the detection of the damage has been shown feasible by referring to low-frequency statistics only.</jats:p>",https://doi.org/10.1088/1742-6596/1669/1/012021,CrossRef,feasibility machine learn algorithm classify damage offshore jacket structure use scada datum,jatstitleabstractjatstitle jatspthe good practise structural damage detection currently rely installation structural health monitoring system collection dedicated high frequency measurement switch employment wind turbine scada supervisory control datum acquisition signal commonly record low frequency statistic lead reduction number adhoc monitor sensor quantity datum require paper aerohydroservoelastic simulation model turbine use assess load change dynamic healthy state damaged configuration case study prove feasibility damage detection lowresolution datum statistic typically record signal scada structural monitoring system feed database training testing classification algorithm ability machine learn model generalise classification stochasticity uncertainty environmental condition test decision treebase classifier show capability capture damage majority operating condition consider though setup traditional scada sensor supplement additional structural health monitoring sensor detection damage show feasible refer lowfrequency statistic onlyjatsp,feasibility machine learn algorithm classify damage offshore jacket structure use scada datum jatstitleabstractjatstitle jatspthe good practise structural damage detection currently rely installation structural health monitoring system collection dedicated high frequency measurement switch employment wind turbine scada supervisory control datum acquisition signal commonly record low frequency statistic lead reduction number adhoc monitor sensor quantity datum require paper aerohydroservoelastic simulation model turbine use assess load change dynamic healthy state damaged configuration case study prove feasibility damage detection lowresolution datum statistic typically record signal scada structural monitoring system feed database training testing classification algorithm ability machine learn model generalise classification stochasticity uncertainty environmental condition test decision treebase classifier show capability capture damage majority operating condition consider though setup traditional scada sensor supplement additional structural health monitoring sensor detection damage show feasible refer lowfrequency statistic onlyjatsp,0.6333333333333333,0.10833333333333334,0.125,0.03333333333333333,120.0,0.0,0.0,0.0,0.0
Computer Science,Algorithms and Data Structures,Qualitative,Infinite paths in randomly oriented lattices,"<jats:title>Abstract</jats:title><jats:p>The square lattice is used to generate an oriented graph in which a rightward or upward arrow is present on each edge with probability <jats:italic>a</jats:italic>, and a leftward or downward arrow with probability <jats:italic>b</jats:italic>. Independence between different edges of the square lattice is assumed, but nothing is assumed concerning the dependence between the two possible orientations at any given edge. A property of self‐duality is exploited to show that, when <jats:italic>a</jats:italic>+<jats:italic>b</jats:italic>=1, the process is, in a sense to be made precise, either critical or supercritical, but not subcritical. This observation enables progress with the percolation problem in which each horizontal edge is oriented rightward with probability <jats:italic>p</jats:italic> and otherwise leftward, and each vertical edge is oriented upward with probability <jats:italic>p</jats:italic> and otherwise downward. © 2001 John Wiley &amp; Sons, Inc. Random Struct. Alg., 18, 257–266, 2001</jats:p>",https://doi.org/10.1002/rsa.1007,CrossRef,infinite path randomly orient lattice,jatstitleabstractjatstitlejatspthe square lattice use generate orient graph rightward upward arrow present edge probability jatsitalicajatsitalic leftward downward arrow probability jatsitalicbjatsitalic independence different edge square lattice assume nothing assume concern dependence two possible orientation give edge property exploit show jatsitalicajatsitalicjatsitalicbjatsitalic process sense make precise either critical supercritical subcritical observation enable progress percolation problem horizontal edge orient rightward probability jatsitalicpjatsitalic otherwise leftward vertical edge orient upward probability jatsitalicpjatsitalic otherwise downward john wiley amp sons inc random struct alg jatsp,infinite path randomly orient lattice jatstitleabstractjatstitlejatspthe square lattice use generate orient graph rightward upward arrow present edge probability jatsitalicajatsitalic leftward downward arrow probability jatsitalicbjatsitalic independence different edge square lattice assume nothing assume concern dependence two possible orientation give edge property exploit show jatsitalicajatsitalicjatsitalicbjatsitalic process sense make precise either critical supercritical subcritical observation enable progress percolation problem horizontal edge orient rightward probability jatsitalicpjatsitalic otherwise leftward vertical edge orient upward probability jatsitalicpjatsitalic otherwise downward john wiley amp sons inc random struct alg jatsp,0.35526315789473684,0.11842105263157894,0.19736842105263158,0.06578947368421052,76.0,0.0,0.0,0.0,3.0
Computer Science,Algorithms and Data Structures,Qualitative,Temporal Multimodal Data-Processing Algorithms Based on Algebraic System of Aggregates,"<jats:p>In many tasks related to an object’s observation or real-time monitoring, the gathering of temporal multimodal data is required. Such data sets are semantically connected as they reflect different aspects of the same object. However, data sets of different modalities are usually stored and processed independently. This paper presents an approach based on the application of the Algebraic System of Aggregates (ASA) operations that enable the creation of an object’s complex representation, referred to as multi-image (MI). The representation of temporal multimodal data sets as the object’s MI yields simple data-processing procedures as it provides a solid semantic connection between data describing different features of the same object, process, or phenomenon. In terms of software development, the MI is a complex data structure used for data processing with ASA operations. This paper provides a detailed presentation of this concept.</jats:p>",https://doi.org/10.3390/a16040186,CrossRef,temporal multimodal dataprocessing algorithm base algebraic system aggregate,jatspin many task relate object observation realtime monitor gathering temporal multimodal datum require data set semantically connect reflect different aspect object however datum set different modality usually store process independently paper present approach base application algebraic system aggregate asa operation enable creation object complex representation refer multiimage representation temporal multimodal data set object yield simple dataprocessing procedure provide solid semantic connection datum describe different feature object process phenomenon term software development complex data structure use datum processing asa operation paper provide detailed presentation conceptjatsp,temporal multimodal dataprocessing algorithm base algebraic system aggregate jatspin many task relate object observation realtime monitor gathering temporal multimodal datum require data set semantically connect reflect different aspect object however datum set different modality usually store process independently paper present approach base application algebraic system aggregate asa operation enable creation object complex representation refer multiimage representation temporal multimodal data set object yield simple dataprocessing procedure provide solid semantic connection datum describe different feature object process phenomenon term software development complex data structure use datum processing asa operation paper provide detailed presentation conceptjatsp,0.5119047619047619,0.20238095238095238,0.20238095238095238,0.047619047619047616,84.0,0.0,0.0,0.0,0.0
