Discipline,Subfield,Methodology,Title,Abstract,URL,Source
Computer Science,Algorithms and Data Structures,Quantitative,Data structures for maintaining set partitions,"<jats:title>Abstract</jats:title><jats:p>Efficiently maintaining the partition induced by a set of features is an important problem in building decision‐tree classifiers. In order to identify a small set of discriminating features, we need the capability of efficiently adding and removing specific features and determining the effect of these changes on the induced classification or partition. In this paper we introduce a variety of randomized and deterministic data structures to support these operations on both general and geometrically induced set partitions. We give both Monte Carlo and Las Vegas data structures that realize near‐optimal time bounds and are practical to implement. We then provide a faster solution to this problem in the geometric setting. Finally, we present a data structure that efficiently estimates the number of partitions separating elements. © 2004 Wiley Periodicals, Inc. Random Struct. Alg., 2004</jats:p>",https://doi.org/10.1002/rsa.20025,CrossRef
Computer Science,Algorithms and Data Structures,Quantitative,Segment-Based Clustering of Hyperspectral Images Using Tree-Based Data Partitioning Structures,"<jats:p>Hyperspectral image classification has been increasingly used in the field of remote sensing. In this study, a new clustering framework for large-scale hyperspectral image (HSI) classification is proposed. The proposed four-step classification scheme explores how to effectively use the global spectral information and local spatial structure of hyperspectral data for HSI classification. Initially, multidimensional Watershed is used for pre-segmentation. Region-based hierarchical hyperspectral image segmentation is based on the construction of Binary partition trees (BPT). Each segmented region is modeled while using first-order parametric modelling, which is then followed by a region merging stage using HSI regional spectral properties in order to obtain a BPT representation. The tree is then pruned to obtain a more compact representation. In addition, principal component analysis (PCA) is utilized for HSI feature extraction, so that the extracted features are further incorporated into the BPT. Finally, an efficient variant of k-means clustering algorithm, called filtering algorithm, is deployed on the created BPT structure, producing the final cluster map. The proposed method is tested over eight publicly available hyperspectral scenes with ground truth data and it is further compared with other clustering frameworks. The extensive experimental analysis demonstrates the efficacy of the proposed method.</jats:p>",https://doi.org/10.3390/a13120330,CrossRef
Computer Science,Algorithms and Data Structures,Quantitative,Efficient Data Structures for Range Shortest Unique Substring Queries,"<jats:p>Let T[1,n] be a string of length n and T[i,j] be the substring of T starting at position i and ending at position j. A substring T[i,j] of T is a repeat if it occurs more than once in T; otherwise, it is a unique substring of T. Repeats and unique substrings are of great interest in computational biology and information retrieval. Given string T as input, the Shortest Unique Substring problem is to find a shortest substring of T that does not occur elsewhere in T. In this paper, we introduce the range variant of this problem, which we call the Range Shortest Unique Substring problem. The task is to construct a data structure over T answering the following type of online queries efficiently. Given a range [α,β], return a shortest substring T[i,j] of T with exactly one occurrence in [α,β]. We present an O(nlogn)-word data structure with O(logwn) query time, where w=Ω(logn) is the word size. Our construction is based on a non-trivial reduction allowing for us to apply a recently introduced optimal geometric data structure [Chan et al., ICALP 2018]. Additionally, we present an O(n)-word data structure with O(nlogϵn) query time, where ϵ&gt;0 is an arbitrarily small constant. The latter data structure relies heavily on another geometric data structure [Nekrich and Navarro, SWAT 2012].</jats:p>",https://doi.org/10.3390/a13110276,CrossRef
Computer Science,Algorithms and Data Structures,Quantitative,Voxelisation Algorithms and Data Structures: A Review,"<jats:p>Voxel-based data structures, algorithms, frameworks, and interfaces have been used in computer graphics and many other applications for decades. There is a general necessity to seek adequate digital representations, such as voxels, that would secure unified data structures, multi-resolution options, robust validation procedures and flexible algorithms for different 3D tasks. In this review, we evaluate the most common properties and algorithms for voxelisation of 2D and 3D objects. Thus, many voxelisation algorithms and their characteristics are presented targeting points, lines, triangles, surfaces and solids as geometric primitives. For lines, we identify three groups of algorithms, where the first two achieve different voxelisation connectivity, while the third one presents voxelisation of curves. We can say that surface voxelisation is a more desired voxelisation type compared to solid voxelisation, as it can be achieved faster and requires less memory if voxels are stored in a sparse way. At the same time, we evaluate in the paper the available voxel data structures. We split all data structures into static and dynamic grids considering the frequency to update a data structure. Static grids are dominated by SVO-based data structures focusing on memory footprint reduction and attributes preservation, where SVDAG and SSVDAG are the most advanced methods. The state-of-the-art dynamic voxel data structure is NanoVDB which is superior to the rest in terms of speed as well as support for out-of-core processing and data management, which is the key to handling large dynamically changing scenes. Overall, we can say that this is the first review evaluating the available voxelisation algorithms for different geometric primitives as well as voxel data structures.</jats:p>",https://doi.org/10.3390/s21248241,CrossRef
Computer Science,Algorithms and Data Structures,Quantitative,"Key Concepts, Weakness and Benchmark on Hash Table Data Structures","<jats:p>Most computer programs or applications need fast data structures. The performance of a data structure is necessarily influenced by the complexity of its common operations; thus, any data-structure that exhibits a theoretical complexity of amortized constant time in several of its main operations should draw a lot of attention. Such is the case of a family of data structures that is called hash tables. However, what is the real efficiency of these hash tables? That is an interesting question with no simple answer and there are some issues to be considered. Of course, there is not a unique hash table; in fact, there are several sub-groups of hash tables, and, even more, not all programming languages use the same variety of hash tables in their default hash table implementation, neither they have the same interface. Nevertheless, all hash tables do have a common issue: they have to solve hash collisions; that is a potential weakness and it also induces a classification of hash tables according to the strategy to solve collisions. In this paper, some key concepts about hash tables are exposed and some definitions about those key concepts are reviewed and clarified, especially in order to study the characteristics of the main strategies to implement hash tables and how they deal with hash collisions. Then, some benchmark cases are designed and presented to assess the performance of hash tables. The cases have been designed to be randomized, to be self-tested, to be representative of a real user cases, and to expose and analyze the impact of different factors over the performance across different hash tables and programming languages. Then, all cases have been programmed using C++, Java and Python and analyzed in terms of interfaces and efficiency (time and memory). The benchmark yields important results about the performance of these structures and its (lack of) relationship with complexity analysis.</jats:p>",https://doi.org/10.3390/a15030100,CrossRef
Computer Science,Algorithms and Data Structures,Qualitative,ANALYSIS OF ALGORITHMS FOR THE FORMATION OF CODE STRUCTURES AFFECTING THE QUALITY OF DATA TRANSMISSION IN INFOCOMMUNICATION SYSTEMS,"<jats:p>Achieving the best quality indicators of transmission through the channels of modern communication systems is always of urgent importance for developers and users of information communication systems. At the same time, to ensure high transmission reliability and performance, various coding methods and methods of converting the transmitted data can be used. Accordingly, each of the proposed data processing methods has its advantages and disadvantages, which determines their attractiveness or application limitations for the data being transmitted. In this paper, the analysis of algorithms for forming signal code structures of traditional interference-resistant positional codes, codes with an even number of units, and a nine-element Hamming code is carried out. Classical positional coding is inferior in such important data transmission parameters as information capacity and entropy. However, in some cases, for example, when the results of data transfer quality parameters calculations are significantly influenced by the language of the transmitted textual information or the volume of the analyzed text (the influence is more likely to be noticeable in individual cases, and not in general), then an important value acquires the possibility of applying a certain/adapted type of encoding of the transmitted data. The article conducts theoretical research and calculates the main qualitative parameters of the studied code constructions for various initial conditions. A comparative analysis and assessment of the influence of the studied parameters on the quality of data transmission was carried out. Conducted theoretical studies show that, under certain conditions, positional coding provides a significant gain in the main quality indicators of data processing and can be successfully applied for coding and transmission of digital data through the channels of modern information transmission systems. In order to practically confirm the reliability of the obtained results, relevant studies should be conducted, for example, with simulation on a software model of a virtual transmission system with different coding principles on modern computer systems.</jats:p>",https://doi.org/10.28925/2663-4023.2024.24.9098,CrossRef
Computer Science,Algorithms and Data Structures,Qualitative,Avoiding a giant component,"<jats:title>Abstract</jats:title><jats:p>Let<jats:italic>e</jats:italic><jats:sub>1</jats:sub>, <jats:italic>e</jats:italic>′<jats:sub>1</jats:sub>;<jats:italic>e</jats:italic><jats:sub>2</jats:sub>, <jats:italic>e</jats:italic>′<jats:sub>2</jats:sub>;…;<jats:italic>e<jats:sub>i</jats:sub></jats:italic>, <jats:italic>e</jats:italic>′<jats:sub><jats:italic>i</jats:italic></jats:sub>;⋅⋅⋅ be a sequence of ordered pairs of edges chosen uniformly at random from the edge set of the complete graph<jats:italic>K<jats:sub>n</jats:sub></jats:italic>(i.e. we sample with replacement). This sequence is used to form a graph by choosing at stage<jats:italic>i</jats:italic>,<jats:italic>i</jats:italic>=1,…, one edge from<jats:italic>e<jats:sub>i</jats:sub></jats:italic>,<jats:italic>e</jats:italic>′<jats:sub><jats:italic>i</jats:italic></jats:sub>to be an edge in the graph, where the choice at stage<jats:italic>i</jats:italic>is based only on the observation of the edges that have appeared by stage<jats:italic>i</jats:italic>. We show that these choices can be made so that<jats:bold>whp</jats:bold>the size of the largest component of the graph formed at stage 0.535<jats:italic>n</jats:italic>is polylogarithmic in<jats:italic>n</jats:italic>. This resolves a question of Achlioptas. © 2001 John Wiley &amp; Sons, Inc. Random Struct. Alg., 19, 75–85, 2001</jats:p>",https://doi.org/10.1002/rsa.1019,CrossRef
Computer Science,Algorithms and Data Structures,Qualitative,Feasibility of machine learning algorithms for classifying damaged offshore jacket structures using SCADA data,"<jats:title>Abstract</jats:title>
               <jats:p>The best practise for structural damage detection currently relies on the installation of structural health monitoring systems for the collection of dedicated high frequency measurements. Switching to the employment of the wind turbine’s SCADA (Supervisory Control and Data Acquisition) signals and their commonly recorded low frequency statistics can lead to a reduction in the number of ad-hoc monitoring sensors and quantity of data required. In this paper, aero-hydro-servo-elastic simulations for a model of a turbine are used to assess its loads and any changes in the dynamics under healthy state and a damaged configuration case study. To prove the feasibility of the damage detection through low-resolution data, the statistics of the typically recorded signals from the SCADA and the structural monitoring systems are fed into a database for training and testing of classification algorithms. The ability of the machine learning models to generalise the classification for both stochasticity and uncertainties in the environmental conditions are tested. Decision tree-based classifiers showed the capability to capture the damage for the majority of the operating conditions considered. Though the setup of the traditional SCADA sensors had to be supplemented with an additional structural health monitoring sensor, the detection of the damage has been shown feasible by referring to low-frequency statistics only.</jats:p>",https://doi.org/10.1088/1742-6596/1669/1/012021,CrossRef
Computer Science,Algorithms and Data Structures,Qualitative,Infinite paths in randomly oriented lattices,"<jats:title>Abstract</jats:title><jats:p>The square lattice is used to generate an oriented graph in which a rightward or upward arrow is present on each edge with probability <jats:italic>a</jats:italic>, and a leftward or downward arrow with probability <jats:italic>b</jats:italic>. Independence between different edges of the square lattice is assumed, but nothing is assumed concerning the dependence between the two possible orientations at any given edge. A property of self‐duality is exploited to show that, when <jats:italic>a</jats:italic>+<jats:italic>b</jats:italic>=1, the process is, in a sense to be made precise, either critical or supercritical, but not subcritical. This observation enables progress with the percolation problem in which each horizontal edge is oriented rightward with probability <jats:italic>p</jats:italic> and otherwise leftward, and each vertical edge is oriented upward with probability <jats:italic>p</jats:italic> and otherwise downward. © 2001 John Wiley &amp; Sons, Inc. Random Struct. Alg., 18, 257–266, 2001</jats:p>",https://doi.org/10.1002/rsa.1007,CrossRef
Computer Science,Algorithms and Data Structures,Qualitative,Temporal Multimodal Data-Processing Algorithms Based on Algebraic System of Aggregates,"<jats:p>In many tasks related to an object’s observation or real-time monitoring, the gathering of temporal multimodal data is required. Such data sets are semantically connected as they reflect different aspects of the same object. However, data sets of different modalities are usually stored and processed independently. This paper presents an approach based on the application of the Algebraic System of Aggregates (ASA) operations that enable the creation of an object’s complex representation, referred to as multi-image (MI). The representation of temporal multimodal data sets as the object’s MI yields simple data-processing procedures as it provides a solid semantic connection between data describing different features of the same object, process, or phenomenon. In terms of software development, the MI is a complex data structure used for data processing with ASA operations. This paper provides a detailed presentation of this concept.</jats:p>",https://doi.org/10.3390/a16040186,CrossRef
